 Se elimino una transaccion con el ID:1 a las 2020-11-12 06:26:28
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 06:31:17
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 06:35:24
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 06:48:58
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 06:49:06
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 06:52:36
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 06:52:43
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 06:55:10
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 06:55:31
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 06:56:01
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 06:56:17
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 06:58:42
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 06:58:54
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 07:01:04
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 07:07:11
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 07:07:26
 Se agrego una nueva transaccion con el ID:2 a las 2020-11-12 07:08:12
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 07:14:43
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 07:18:14
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 07:18:26
 Se agrego una nueva transaccion con el ID:2 a las 2020-11-12 07:19:13
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 14:59:34
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 15:00:14
 Se agrego una nueva transaccion con el ID:3 a las 2020-11-12 15:28:50
 Se agrego una nueva transaccion con el ID:2 a las 2020-11-12 15:30:42
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 15:41:00
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 15:41:18
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 15:41:40
 Se agrego una nueva transaccion con el ID:2 a las 2020-11-12 15:41:49
 Se agrego una nueva transaccion con el ID:3 a las 2020-11-12 15:49:18
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 15:51:12
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 15:57:16
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 15:59:09
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 16:02:01
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 16:03:19
 Se agrego una nueva transaccion con el ID:1 a las 2020-11-12 16:04:58
